Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Deutschland,01/01/2020,4.3,-1.1,1.7,-4.8,,0,0,0,14.3,245.5,,15.4,5.9,91.71,Clear
Deutschland,01/02/2020,5,-2.9,0.1,-7.5,,0,0,0,15.4,204.83,,28.7,0.9,79.26,Clear
Deutschland,01/03/2020,6.4,0.5,4,-3.7,,4.15,0,0,26,214.46,,22.1,0,90.87,Rain
Deutschland,01/04/2020,5.2,1.8,3.8,-3.1,,2.73,0,0,36.1,273.42,,30,4.8,87.53,Rain
Deutschland,01/05/2020,2.9,-1.3,1,-5.7,,0,0,0,20.2,247.42,,29.1,2.3,88.36,Clear
Deutschland,01/06/2020,6,2.8,4.2,-0.7,,0,0,0,14.5,217.08,,30.5,13,84.37,Clear
Deutschland,01/07/2020,4.6,-1.1,2.1,-5.1,,0.18,0,0,15,218.29,,12.4,0.4,93.73,Rain
Deutschland,01/08/2020,8,2.9,5.8,-1.1,,0.37,0,0,22.1,213.13,,23.9,,89.13,Rain
Deutschland,01/09/2020,9.5,7,8.1,4.4,,4.65,0,0,19.2,197.29,,8.1,,96.73,Rain
Deutschland,01/10/2020,10.3,5.3,9,0.9,,3.9,0,0,28,233.67,,24.7,,89.45,Rain
Deutschland,01/11/2020,6.2,2.2,4.2,-1.9,,0.05,0,0,24.3,249.38,,36.5,,83.69,Rain
Deutschland,01/12/2020,5.4,0.8,3,-3.9,,0.03,0,0,24.5,214,,37,,79.57,Rain
Deutschland,01/13/2020,7,2.1,5.2,-1.7,,0.01,0,0,25.2,211.67,,35.7,5,85.98,Rain
Deutschland,01/14/2020,9.6,1.9,6.4,-2.4,,0.05,0,0,24.1,187.13,,30.5,,76.48,Rain
Deutschland,01/15/2020,12.7,7.8,9.9,4.8,,0,0,0,24,199.38,,40.5,,62.46,Clear
Deutschland,01/16/2020,10,3.8,6.5,0.3,,0,0,0,17.2,204.63,,39.5,5.2,77.99,Clear
Deutschland,01/17/2020,8.5,0.8,3.9,-2.9,,0,0,0,17.2,155.92,,17.5,3.3,84.39,Clear
